NAME_O,ORIGX,ORIGY,NAME_D,DSTNX,DSTNY
"20 Jasmin St. BH, QC",14.70209,121.09347,"Welcome Rotonda, Sampaloc",6.50955,124.89572
"29 Jasmin St., BH, QC",14.71634,121.02751,"Bureau of Customs, Pier South",14.63883,121.03541
"34 Ilang Ilang St. BH, QC",14.68472,121.10659,"Ortigas, Pasig City",14.58924,121.07101
"29 Jasmin St., BH, QC",14.71634,121.02751,"Greenhills, San Juan",14.60355,121.04835
"1035 Jasmin St. BH, QC",14.68057,121.09355,Ilang Ilang,14.68479,121.08861
"108 Senatorial Road, BH, QC",14.68511,121.09773,"Talipapa, Ilang Ilang",14.68479,121.08861
"16 Jasmin St. BH, QC",14.701,121.09445,"Talipapa, Ilang Ilang",14.68479,121.08861
"34 Ilang Ilang St. BH, QC",14.68472,121.10659,"Talipapa, Ilang Ilang St.",14.68479,121.08861
"142 Jasmin St., BH, QC",14.68631,121.09599,Commonwealth Market,14.682,121.08509
"142 Jasmin St., BH, QC",14.68631,121.09599,"Anonas 2-A Ext., Sicatona Village",14.63728,121.05806
"136 Jasmin St. BH, QC",14.68673,121.10874,"Talipapa, Ilang Ilang St.",14.68479,121.08861
"29 Jasmin St., BH, QC",14.71634,121.02751,Century Commonwealth,14.70601,121.08698
